Product Name,SKU,Barcode,Category,Sales Price,Cost,Unit,Product Type,Description
Wireless Mouse,WM-001,5901234123457,Electronics / Accessories,29.99,12.50,Units,consu,Ergonomic wireless mouse with USB receiver
Mechanical Keyboard,KB-001,5901234123458,Electronics / Accessories,89.99,45.00,Units,consu,RGB mechanical keyboard with blue switches
USB-C Hub,HB-001,5901234123459,Electronics / Accessories,49.99,22.00,Units,consu,7-port USB-C hub with HDMI output
Monitor Stand,MS-001,5901234123460,Office Supplies / Furniture,34.99,15.00,Units,consu,Adjustable monitor stand with storage
Desk Lamp,DL-001,5901234123461,Office Supplies / Lighting,24.99,10.00,Units,consu,LED desk lamp with 3 brightness levels
Notebook A5,NB-001,5901234123462,Office Supplies / Stationery,4.99,1.50,Units,consu,A5 lined notebook 200 pages
Whiteboard Markers,WB-001,5901234123463,Office Supplies / Stationery,9.99,3.00,Units,consu,Set of 4 whiteboard markers
Ergonomic Chair,EC-001,5901234123464,Office Supplies / Furniture,299.99,150.00,Units,consu,Adjustable ergonomic office chair
Webcam HD,WC-001,5901234123465,Electronics / Video,59.99,28.00,Units,consu,1080p HD webcam with microphone
Headphones,HP-001,5901234123466,Electronics / Audio,79.99,35.00,Units,consu,Over-ear wireless headphones
